GPE Counts:
Ptolemy: 15
Phalerum: 6
Athens: 56
Parthenon: 2
Athena: 1
the united: 1
Boeotia: 3
Munychia: 1
Heros: 1
Ionia: 2
Hera: 2
Macedonia: 15
Syracuse: 3
ATHENS: 6
Poseidon: 18
Polybotes: 1
Eubulides: 1
Attica: 25
Herse: 2
Cecrops: 5
Cleidicus: 1
Mantinea: 2
Leuctra: 3
Thermopylae: 4
Eridanus: 1
Thessaly: 4
Greece: 10
Aetolians: 3
Pergamus: 1
Teuthrania: 2
Alope: 3
Cercyon: 3
Phylas: 1
Eumolpus: 5
Athena the Gannet: 1
Syria: 1
Egypt: 27
Philip: 5
Perdiccas: 3
Memphis: 3
Phoenicia: 1
Seleucus: 17
Thrace: 6
Libya: 2
Hellespont: 2
Antigonus Ptolemy: 1
Cyprus: 7
Antigonus, Ptolemy: 1
Magas: 5
Berenice: 3
Docimus: 1
Philetaerus: 2
Lycurgus,29: 1
Calauria: 2
Locrus: 1
Heracles: 2
Aristogiton: 1
EGYPT: 1
Getae: 1
Ephesus: 1
Lebedos: 1
Phoenix: 1
Macedon: 4
Agathocles: 3
Babylon: 4
Asia,40: 1
Cardia: 1
Neoptolemus: 4
Helenus: 1
Pielus: 1
Oeneadae: 1
Argives: 16
Italy: 7
Sicily: 2
Odyssey: 1
Cleonymus: 1
Cleomenes: 1
Areus: 1
Sparta: 3
Laconia: 1
death52: 1
Lyceas: 1
Pythia: 3
Dionysius: 1
Musaeus: 1
Oceanus: 1
Orpheus: 1
Dysaules: 1
Choerilus: 1
Epimenides of Cnossus,53: 1
Glory: 1
Palestine: 1
Pella: 1
Alexander: 1
Persia: 2
Bel: 1
Hermae: 2
Crete: 8
Thesprotia: 1
Scyros: 2
Leucippus: 1
stakes.63: 1
Prytaneum: 2
Autolycus: 1
Alexandria: 1
Eileithyia: 4
Cretan: 3
Rhodes: 1
Rome: 2
Isocrates: 1
Lycus: 3
Phocis: 1
Chaeronea: 3
Cerameicus: 1
Menander: 1
Niobe: 2
Themis: 1
Troy: 2
Sophroniscus: 1
Lesbos: 1
Leaena: 1
Mycalessians: 1
Thucydides: 1
Phormio71: 1
Paeania: 1
Pericles: 4
Lycaon: 1
Panactum: 1
Athens Demetrius: 1
Coronea: 1
Olympiodorus: 1
Erechtheum: 1
Aphrodisias: 1
Caria: 1
Spartan: 1
Pandrosus: 1
Immaradus: 2
Cycnus: 2
Calydon: 1
Corinth: 7
Evenor: 1
Acarnania: 1
Theogony89: 1
Pamphos: 1
Sardinia: 1
Apollodorus: 1
Spintharus: 1
Hellespont,111: 1
Timagoras: 2
Erysichthon: 1
Myrrhinus: 3
Athmonia: 2
Euboea: 1
Amarysia: 1
Colaenus: 1
Eurystheus: 2
Iphigenia: 3
Tauri: 2
Britain: 1
Atlas: 1
Helen: 1
Chalcis: 1
Trophonius: 1
Eriphyle: 1
Cychreus: 2
Anax: 1
Neocles: 1
Psyttalea: 2
Mysia: 1
Poliarchus: 1
Theodorus: 1
Mnesitheus: 1
Saesara: 2
Chione: 1
Diogenia: 1
Pammerope: 1
Zarex: 2
Celeus: 1
Laodamas: 1
Nisaea: 4
Cleson: 3
Gerania: 1
Megareus: 5
Alcathous: 14
Cithaeron: 1
Tereus: 1
Pagae: 3
Springs: 1
Daulis: 1
Aetolia: 2
Scythia: 1
Aegialeus: 1
Aesymnus: 1
Iphinoe: 1
Iphiaoe: 1
Polyidus: 2
Coeranus: 2
Lelex: 1
Minoa: 1
Glisas: 1
Megaris: 1
Amythaon: 1
Erenea: 1
Aegina: 1
